spelling	%Bel	%Ned	Obs_Bel	Obs_Bel	
aagje	72.3	86.7	239	277	
aagt	15.4	14.0	270	306	
aai	93.4	98.7	255	318	
aaibaar	96.1	99.0	240	316	
aaien	99.5	99.4	232	341	
aaiing	62.4	43.9	263	330	
aak	60.4	70.7	266	305	
aal	95.1	98.1	260	275	
aalbes	91.9	98.1	234	324	
aalbessen	94.4	94.8	226	305	
aalfuik	60.7	69.6	265	298	
aalgeer	12.1	10.4	236	303	
aalglad	74.4	73.4	226	297	
aalkorf	68.3	45.6	226	319	
aalkuip	66.0	30.4	217	286	
aalmoes	97.8	97.6	235	304	
aalmoezenier	95.2	86.3	261	291	
aalpomp	58.5	13.9	231	340	
aalput	80.1	36.6	227	337	
aalscholver	88.1	92.0	247	327	
aalspeer	17.2	23.2	216	263	
aalstal	24.5	10.0	223	324	
aalsteker	46.9	46.7	238	314	
aalstreep	29.3	21.3	256	345	
aalt	39.0	40.3	252	321	
aaltje	87.2	91.5	272	310	
aaltjes	81.3	91.7	253	290	
aalvlug	44.0	45.4	265	316	
aalvork	58.2	38.2	214	281	
aam	28.4	27.2	222	324	
aambeeld	96.0	95.3	239	314	
aambei	97.7	98.7	229	317	
aambeien	97.5	96.8	253	299	
aamborstig	31.6	31.8	274	321	
aamt	21.1	26.7	288	326	
aan	99.2	99.4	251	344	
aanaarden	34.9	28.9	249	327	
aanbakken	99.3	98.6	296	306	
aanbaksel	93.5	89.4	258	327	
aanbedene	74.7	77.2	245	310	
aanbeeld	57.2	61.0	246	313	
aanbelanden	96.0	77.6	263	301	
aanbelang	79.5	31.8	262	321	
aanbelangen	96.9	27.7	276	278	
aanbellen	99.2	99.7	265	340	
aanbenen	45.9	56.0	212	282	
aanbesteden	96.8	97.9	264	295	
aanbesteding	96.9	99.7	269	313	
aanbetalen	96.5	100.0	30	44	
aanbetaling	87.6	99.0	272	303	
aanbevelen	99.6	98.7	255	318	
aanbeveling	99.6	99.7	269	336	
aanbiddelijk	95.4	95.0	252	297	
aanbidden	99.6	99.0	260	330	
aanbidder	100.0	99.7	241	330	
aanbidding	93.8	93.1	220	367	
aanbidster	100.0	100.0	37	42	
aanbieden	100.0	99.7	267	301	
aanbieder	98.7	99.1	240	341	
aanbieding	99.5	99.3	229	302	
aanbijten	60.4	56.8	263	300	
aanbinden	96.7	92.0	253	289	
aanblazen	91.0	88.1	210	336	
aanblijven	94.6	98.6	252	297	
aanblik	97.0	99.4	244	329	
aanbod	99.6	99.3	277	305	
aanboren	87.8	92.2	224	365	
aanbotsen	73.3	72.4	260	366	
aanbouw	98.8	99.4	267	327	
aanbouwen	97.3	100.0	270	318	
aanbraden	88.2	94.8	267	327	
aanbranden	99.2	99.0	258	319	
aanbreien	73.3	55.8	209	293	
aanbreken	98.8	98.9	258	290	
aanbreng	92.4	83.8	248	351	
aanbrengen	99.1	99.3	240	322	
aanbrug	27.0	19.5	235	331	
aandacht	98.8	99.7	261	334	
aandachtig	100.0	98.9	242	299	
aandachtspunt	99.6	99.3	253	299	
aandak	16.6	11.9	245	301	
aandammen	71.0	42.4	243	305	
aandeel	99.6	99.4	249	327	
aandeelhouder	99.6	100.0	252	328	
aandelen	100.0	99.7	223	338	
aandenken	98.8	99.4	260	330	
aandienen	96.5	97.7	239	325	
aandijken	78.9	43.7	234	301	
aandikken	98.3	98.1	249	341	
aandoen	99.6	99.0	263	316	
aandoening	98.4	100.0	258	330	
aandoenlijk	99.2	98.4	263	330	
aandraaien	94.9	97.8	248	286	
aandragen	97.2	99.4	228	339	
aandrager	85.8	92.0	245	331	
aandrang	97.9	97.4	256	279	
aandraven	96.5	85.0	244	352	
aandrift	77.4	73.8	233	346	
aandrijven	98.8	98.7	263	316	
aandrijving	97.3	99.0	237	314	
aandringen	98.4	99.7	264	303	
aandrukken	97.8	99.0	239	313	
aanduiden	99.6	98.4	242	265	
aanduiding	99.5	99.1	225	356	
aandurven	98.6	98.8	227	337	
aanduwen	88.8	98.0	234	323	
aaneen	79.7	86.4	233	334	
aanflitsen	63.5	63.3	222	310	
aanfloepen	60.2	52.3	262	320	
aanfluiting	85.6	97.9	264	302	
aanfok	17.7	28.5	225	290	
aanfokken	43.3	51.8	232	341	
aangaan	98.0	98.4	264	327	
aangaande	97.9	96.7	245	315	
aangapen	88.4	92.6	253	326	
aangebonden	96.1	93.5	240	277	
aangeboren	99.6	99.3	269	308	
aangedaan	98.0	99.4	264	341	
aangeduid	98.9	98.2	276	285	
aangeërfd	47.4	37.5	220	283	
aangehuwd	72.5	79.1	256	327	
aangeklaagde	99.2	99.0	255	305	
aangeland	87.7	93.6	256	314	
aangelegd	100.0	100.0	252	295	
aangelegenheid	97.8	98.7	235	335	
aangenaam	99.6	99.7	261	359	
aangepast	100.0	100.0	244	315	
aangerukt	93.6	92.3	197	259	
aangeschoten	99.6	99.7	237	323	
aangeslagen	99.2	98.6	270	302	
aangespen	84.8	84.8	249	305	
aangetast	99.3	100.0	281	342	
aangetrouwd	99.1	100.0	241	301	
aangeven	100.0	98.6	244	309	
aangever	96.9	97.9	237	301	
aangewezen	99.2	99.7	251	319	
aangezet	96.3	99.3	258	314	
aangezicht	98.1	97.7	221	321	
aangezien	99.6	100.0	269	329	
aangieren	43.0	44.7	229	274	
aangieten	65.2	64.3	272	307	
aangifte	99.2	99.7	261	309	
aangluren	49.9	47.6	212	267	
aangolven	63.5	48.5	274	319	
aangooien	76.8	84.8	268	318	
aangorden	52.9	49.8	257	283	
aangraven	68.2	50.3	242	269	
aangrenzend	99.1	99.4	224	336	
aangrijpen	97.8	98.8	237	344	
aangrijpend	100.0	98.2	240	290	
aangroei	99.6	96.1	238	296	
aangroeien	98.7	98.6	244	309	
aanhaken	95.3	98.0	268	318	
aanhalen	100.0	99.3	279	308	
aanhalerig	77.7	81.5	246	318	
aanhalig	83.7	95.1	264	319	
aanhaling	96.7	94.8	257	327	
aanhalingsteken	97.8	99.7	242	309	
aanhang	98.4	99.7	262	329	
aanhangen	98.3	98.9	252	292	
aanhanger	99.2	99.0	249	306	
aanhangig	72.7	81.2	235	336	
aanhangsel	98.7	99.2	251	279	
aanhangwagen	99.1	98.7	224	317	
aanhankelijk	98.3	99.3	255	307	
aanharken	73.0	95.9	257	283	
aanhebben	85.1	83.9	282	314	
aanhef	98.2	99.7	231	340	
aanheffen	95.3	95.2	244	348	
aanhikken	28.4	84.0	191	270	
aanhinken	57.3	60.5	254	312	
aanhitsen	53.5	36.9	274	307	
aanhitser	46.8	41.0	273	323	
aanhobbel	19.6	30.2	216	273	
aanhollen	87.0	74.8	251	317	
aanhoren	98.7	99.7	247	319	
aanhorig	87.9	63.8	269	294	
aanhouden	98.7	99.7	235	343	
aanhoudend	100.0	99.0	247	326	
aanhouder	99.6	99.3	261	288	
aanhouding	99.2	99.3	253	313	
aanhuwing	22.7	38.7	252	266	
aanjagen	90.2	98.8	269	358	
aanjager	72.6	97.1	234	324	
aankaarten	97.6	98.3	258	314	
aankakken	42.0	85.6	214	263	
aankalken	80.7	65.7	251	319	
aankappen	58.1	37.1	216	291	
aankijken	99.6	100.0	239	325	
